City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Iquique,CL,2022-07-26 05:10:16,-20.2208,-70.1431,286.17,79,30,2.44
155,Alta Floresta,BR,2022-07-26 05:10:17,-9.8756,-56.0861,293.19,49,82,1.41
156,Nordby,DK,2022-07-26 05:10:17,55.446,8.3979,287.07,85,75,7.2
157,Georgetown,MY,2022-07-26 05:10:18,5.4112,100.3354,305.11,66,20,2.57
158,Bluff,NZ,2022-07-26 05:10:18,-46.6,168.3333,280.26,90,100,11.95
159,Ostrovnoy,RU,2022-07-26 05:10:19,68.0531,39.5131,288.27,62,92,7.94
160,La Seyne-Sur-Mer,FR,2022-07-26 05:10:19,43.0982,5.8847,298.64,61,0,0.89
161,Dingle,PH,2022-07-26 05:10:20,10.9995,122.6711,303.7,73,65,4.19
162,Chuy,UY,2022-07-26 05:10:20,-33.6971,-53.4616,287.27,97,94,3.88
163,Sinnamary,GF,2022-07-26 05:10:21,5.3833,-52.95,298.28,89,67,2.73
164,Pangkalanbuun,ID,2022-07-26 05:10:21,-2.6833,111.6167,302.83,61,94,1.7
165,Coquimbo,CL,2022-07-26 05:10:22,-29.9533,-71.3436,285.44,80,78,1.02
166,Alofi,NU,2022-07-26 05:09:27,-19.0595,-169.9187,296.77,62,35,8.16
167,Arraial Do Cabo,BR,2022-07-26 05:10:23,-22.9661,-42.0278,294.22,86,7,8.41
168,Porohy,UA,2022-07-26 05:10:24,48.6876,24.2632,292.2,59,76,1.07
169,Tezu,IN,2022-07-26 05:10:25,27.9167,96.1667,303.56,74,72,1.7
170,Shingu,JP,2022-07-26 05:10:26,33.7333,135.9833,302.85,76,100,2.23
171,Kaka,TM,2022-07-26 05:10:26,37.3482,59.6143,303.93,33,0,5.4
172,Ginir,ET,2022-07-26 05:10:27,7.1333,40.7,288.9,62,69,6.39
173,Wewak,PG,2022-07-26 05:10:27,-3.5534,143.6268,302.28,70,74,3.56
174,Celestun,MX,2022-07-26 05:10:28,20.8667,-90.4,299.79,79,33,5.13
175,Forest,US,2022-07-26 05:10:29,37.3638,-79.2897,297.43,96,0,2.06
176,Alekseyevka,RU,2022-07-26 05:10:30,50.6309,38.6903,290.81,93,100,1.98
177,Noumea,NC,2022-07-26 05:10:31,-22.2763,166.4572,297.59,99,78,3.57
178,Richards Bay,ZA,2022-07-26 05:10:32,-28.783,32.0377,285.5,79,2,2.18
